"name","year","quarter","count"
"Tcl","2014","4","137"
"Standard ML","2014","4","136"
"Mathematica","2014","4","132"
"Arduino","2014","4","130"
"Elm","2014","4","129"
"Cuda","2014","4","128"
"OpenEdge ABL","2014","4","123"
"Game Maker Language","2014","4","107"
"Batchfile","2014","4","105"
"PostScript","2014","4","104"
"ABAP","2014","4","103"
"JavaScript","2015","1","239517"
"Python","2015","1","119716"
"Java","2015","1","103972"
"PHP","2015","1","87742"
"Ruby","2015","1","60391"
"C++","2015","1","53383"
"C#","2015","1","34278"
"C","2015","1","32963"
"HTML","2015","1","32575"
"Go","2015","1","22756"
"CSS","2015","1","19743"
"CoffeeScript","2015","1","17780"
"Objective-C","2015","1","17734"
"Shell","2015","1","14559"
"Scala","2015","1","9283"
"TypeScript","2015","1","7917"
"Haskell","2015","1","6685"
"Lua","2015","1","5308"
"Rust","2015","1","5256"
"Swift","2015","1","4684"
"Groovy","2015","1","3514"
"Perl","2015","1","3420"
"Clojure","2015","1","3252"
"Emacs Lisp","2015","1","2882"
"Julia","2015","1","2131"
"Erlang","2015","1","1793"
"Makefile","2015","1","1752"
"Dart","2015","1","1674"
"R","2015","1","1652"
"VimL","2015","1","1644"
"DM","2015","1","1635"
"Kotlin","2015","1","1619"
"TeX","2015","1","1549"
"F#","2015","1","1468"
"OCaml","2015","1","1448"
"Matlab","2015","1","1272"
"Jupyter Notebook","2015","1","1165"
"Haxe","2015","1","1004"
"PowerShell","2015","1","936"
"Puppet","2015","1","911"
"ApacheConf","2015","1","825"
"D","2015","1","726"
"PLpgSQL","2015","1","715"
"XSLT","2015","1","700"
"Elixir","2015","1","681"
"QML","2015","1","665"
"Vala","2015","1","656"
"Visual Basic","2015","1","544"
"ActionScript","2015","1","538"
"PLSQL","2015","1","498"
"Apex","2015","1","494"
"PureScript","2015","1","463"
"Common Lisp","2015","1","430"
"Smalltalk","2015","1","376"
"CMake","2015","1","370"
"Web Ontology Language","2015","1","360"
"SQF","2015","1","354"
"Assembly","2015","1","353"
"Cucumber","2015","1","344"
"FORTRAN","2015","1","341"
"Eagle","2015","1","323"
"Pascal","2015","1","312"
"LabVIEW","2015","1","298"
"SourcePawn","2015","1","291"
"Groff","2015","1","283"
"Elm","2015","1","258"
"LiveScript","2015","1","248"
"Arduino","2015","1","238"
"Objective-J","2015","1","203"
"Prolog","2015","1","198"
"Racket","2015","1","183"
"Hack","2015","1","182"
"1C Enterprise","2015","1","179"
"AutoHotkey","2015","1","168"
"Nimrod","2015","1","158"
"ColdFusion","2015","1","153"
"Game Maker Language","2015","1","151"
"Standard ML","2015","1","150"
"M","2015","1","144"
"Cuda","2015","1","139"
"Inno Setup","2015","1","126"
"Tcl","2015","1","124"
"Perl6","2015","1","123"
"Scheme","2015","1","121"
"Objective-C++","2015","1","120"
"Processing","2015","1","120"
"Max","2015","1","118"
"Mathematica","2015","1","111"
"Smarty","2015","1","108"
"Coq","2015","1","106"
"PostScript","2015","1","102"
"SQLPL","2015","1","101"
"JavaScript","2015","2","259719"
"Python","2015","2","138758"
"Java","2015","2","116401"
"PHP","2015","2","91449"
"Ruby","2015","2","57597"
"C++","2015","2","55021"
"C#","2015","2","44208"
"C","2015","2","37563"
"HTML","2015","2","36986"
"Go","2015","2","31255"
"CSS","2015","2","21406"
"CoffeeScript","2015","2","20972"
"Objective-C","2015","2","19179"
"Shell","2015","2","17140"
"TypeScript","2015","2","11900"
"Scala","2015","2","10744"
"Swift","2015","2","8022"
"Haskell","2015","2","7184"
"Dart","2015","2","6172"
"Rust","2015","2","5999"
"Lua","2015","2","5168"
"Perl","2015","2","4567"
"Groovy","2015","2","4452"
"Clojure","2015","2","3287"
"Emacs Lisp","2015","2","2752"
"R","2015","2","2570"
"OCaml","2015","2","2421"
"Erlang","2015","2","2234"
"Julia","2015","2","1956"
"DM","2015","2","1886"
"VimL","2015","2","1796"
"Makefile","2015","2","1642"
"F#","2015","2","1596"
"Matlab","2015","2","1573"
"Jupyter Notebook","2015","2","1323"
"PowerShell","2015","2","1248"
"TeX","2015","2","1165"
"Elixir","2015","2","1142"
"Kotlin","2015","2","1137"
"Haxe","2015","2","1029"
"PLpgSQL","2015","2","1028"
"Smalltalk","2015","2","858"
"XSLT","2015","2","792"
"Puppet","2015","2","786"
"QML","2015","2","747"
"PureScript","2015","2","734"
"Pascal","2015","2","705"
"D","2015","2","702"
"Vala","2015","2","661"
"Visual Basic","2015","2","635"
"ActionScript","2015","2","605"
"SQF","2015","2","586"
"Common Lisp","2015","2","529"
"CMake","2015","2","465"
"Apex","2015","2","438"
"Elm","2015","2","436"
"FORTRAN","2015","2","413"
"Groff","2015","2","397"
"PLSQL","2015","2","396"
"Web Ontology Language","2015","2","373"
"ApacheConf","2015","2","361"
"Assembly","2015","2","347"
"Objective-C++","2015","2","325"
"Eagle","2015","2","311"
"LiveScript","2015","2","264"
"Arduino","2015","2","250"
"Nginx","2015","2","246"
"Batchfile","2015","2","213"
"Red","2015","2","211"
"Standard ML","2015","2","198"
"HCL","2015","2","198"
"Cucumber","2015","2","193"
"Cuda","2015","2","190"
"Scheme","2015","2","179"
"ASP","2015","2","176"
"Nimrod","2015","2","169"
"Thrift","2015","2","165"
"KiCad","2015","2","160"
"OpenSCAD","2015","2","160"
"Racket","2015","2","157"
"Inno Setup","2015","2","156"
"SMT","2015","2","148"
"XQuery","2015","2","144"
